MESS_DATUM;F;D
2021011517;3.2;10
2021011518;2.5;320
2021011519;3.1;310
2021011520;2.8;300
2021011521;3.1;310
2021011522;3.5;310
2021011523;3.7;310
2021011600;2.5;290
2021011601;3.0;280
2021011602;2.9;280
2021011603;2.2;270
2021011604;3.3;270
2021011605;3.2;280
2021011606;2.1;280
2021011607;1.1;250
2021011608;2.3;220
2021011609;2.7;240
2021011610;2.4;240
2021011611;3.5;230
2021011612;3.5;220
2021011613;2.7;220
2021011614;2.8;230
2021011615;3.0;220
2021011616;2.7;210
2021011617;2.4;210
2021011618;1.5;170
2021011619;2.3;160
2021011620;2.4;160
2021011621;2.4;140
2021011622;2.6;150
2021011623;2.2;150
2021011700;2.0;140
2021011701;2.1;130
2021011702;1.8;120
2021011703;2.4;120
2021011704;2.0;110
2021011705;1.1;110
2021011706;2.1;130
2021011707;2.6;130
2021011708;2.5;130
2021011709;2.6;130
2021011710;2.6;130
2021011711;3.0;110
2021011712;3.1;120
2021011713;4.3;150
2021011714;4.2;140
2021011715;3.7;140
2021011716;3.7;130
2021011717;3.8;130
2021011718;3.5;140
2021011719;4.8;150
2021011720;3.9;150
2021011721;3.6;160
2021011722;3.4;170
2021011723;3.4;170
2021011800;3.1;170
2021011801;2.5;170
2021011802;2.7;160
2021011803;2.1;180
2021011804;2.3;210
2021011805;1.4;220
2021011806;2.3;230
2021011807;2.1;230
2021011808;3.3;230
2021011809;4.0;230
2021011810;4.3;230
2021011811;4.7;220
2021011812;6.2;210
2021011813;6.3;230
2021011814;6.0;230
2021011815;5.9;240
2021011816;5.3;240
2021011817;4.2;240
2021011818;4.6;250
2021011819;5.3;250
2021011820;5.2;250
2021011821;4.9;250
2021011822;5.9;250
2021011823;4.7;240
2021011900;4.7;240
2021011901;5.8;230
2021011902;5.7;220
2021011903;5.3;220
2021011904;5.2;210
2021011905;6.4;210
2021011906;6.9;210
2021011907;6.3;190
2021011908;5.7;190
2021011909;5.8;190
2021011910;5.7;190
2021011911;5.4;190
2021011912;4.9;190
2021011913;6.0;210
2021011914;5.9;210
2021011915;5.0;220
2021011916;3.9;230
2021011917;3.8;230
2021011918;3.6;230
2021011919;3.5;220
2021011920;3.9;220
2021011921;5.6;230
2021011922;6.9;240
2021011923;7.2;230
2021012000;6.8;230
2021012001;7.1;230
2021012002;8.7;220
2021012003;8.5;220
2021012004;8.2;210
2021012005;7.8;210
2021012006;8.3;210
2021012007;8.8;210
2021012008;8.4;210
2021012009;8.2;210
2021012010;8.2;210
2021012011;9.2;210
2021012012;9.1;210
2021012013;8.7;210
2021012014;7.9;210
2021012015;7.3;210
2021012016;7.6;200
2021012017;7.2;200
2021012018;7.2;200
2021012019;7.2;190
2021012020;6.6;180
2021012021;6.4;170
2021012022;6.5;180
2021012023;5.9;180
2021012100;6.5;180
2021012101;7.0;180
2021012102;8.2;170
2021012103;7.8;180
2021012104;8.1;160
2021012105;8.8;160
2021012106;9.0;160
2021012107;9.9;170
2021012108;9.0;180
2021012109;10.5;220
2021012110;8.5;220
2021012111;9.7;210
2021012112;10.7;210
2021012113;11.2;210
2021012114;10.4;210
2021012115;9.7;210
2021012116;9.3;200
2021012117;9.5;200
2021012118;9.3;200
2021012119;8.8;200
2021012120;7.8;190
2021012121;6.8;180
2021012122;6.5;170
2021012123;7.2;170
2021012200;6.0;150
2021012201;7.2;150
2021012202;8.4;170
2021012203;8.1;180
2021012204;7.1;180
2021012205;8.9;220
2021012206;7.3;260
2021012207;5.6;240
2021012208;6.7;230
2021012209;6.7;230
2021012210;7.0;220
2021012211;7.5;230
2021012212;7.3;230
2021012213;8.1;220
2021012214;7.9;230
2021012215;7.0;230
2021012216;6.1;230
2021012217;5.5;220
2021012218;5.3;220
2021012219;5.0;220
2021012220;4.9;220
2021012221;4.9;220
2021012222;4.5;220
2021012223;4.2;230
2021012300;4.2;220
2021012301;3.5;220
2021012302;3.2;220
2021012303;2.5;220
2021012304;2.1;210
2021012305;2.0;210
2021012306;2.0;150
2021012307;2.2;150
2021012308;2.6;150
2021012309;3.6;150
2021012310;3.6;150
2021012311;4.4;170
2021012312;4.7;180
2021012313;3.9;190
2021012314;5.1;210
2021012315;4.4;210
2021012316;4.2;210
2021012317;3.9;210
2021012318;3.5;200
2021012319;3.3;210
2021012320;1.7;220
2021012321;1.7;220
2021012322;2.1;220
2021012323;1.4;140
2021012400;1.6;130
2021012401;1.1;130
2021012402;1.2;100
2021012403;1.5;90
2021012404;1.8;110
2021012405;2.2;120
2021012406;1.5;90
2021012407;1.1;40
2021012408;1.0;60
2021012409;1.3;80
2021012410;2.1;140
2021012411;3.2;140
2021012412;2.4;130
2021012413;3.2;170
2021012414;2.6;180
2021012415;1.7;200
2021012416;2.3;210
2021012417;1.8;190
2021012418;1.6;170
2021012419;2.3;220
2021012420;3.2;230
2021012421;2.3;240
2021012422;3.0;250
2021012423;3.4;270
2021012500;2.4;280
2021012501;2.7;250
2021012502;3.2;260
2021012503;3.1;260
2021012504;3.2;270
2021012505;2.7;260
2021012506;2.6;270
2021012507;2.2;280
2021012508;2.7;260
2021012509;2.3;250
2021012510;2.5;250
2021012511;2.5;250
2021012512;2.7;250
2021012513;2.8;260
2021012514;2.9;250
2021012515;2.8;250
