MESS_DATUM;V_N
2023052711;5
2023052712;1
2023052713;2
2023052714;0
2023052715;0
2023052716;5
2023052717;0
2023052718;1
2023052719;0
2023052720;0
2023052721;0
2023052722;0
2023052723;0
2023052800;0
2023052801;0
2023052802;0
2023052803;0
2023052804;0
2023052805;7
2023052806;8
2023052807;8
2023052808;4
2023052809;6
2023052810;0
2023052811;4
2023052812;5
2023052813;3
2023052814;3
2023052815;0
2023052816;4
2023052817;7
2023052818;0
2023052819;7
2023052820;5
2023052821;8
2023052822;6
2023052823;7
2023052900;7
2023052901;7
2023052902;1
2023052903;7
2023052904;6
2023052905;3
2023052906;3
2023052907;6
2023052908;6
2023052909;2
2023052910;2
2023052911;2
2023052912;6
2023052913;5
2023052914;7
2023052915;1
2023052916;1
2023052917;5
2023052918;5
2023052919;8
2023052920;7
2023052921;8
2023052922;8
2023052923;8
2023053000;8
2023053001;8
2023053002;8
2023053003;8
2023053004;7
2023053005;8
2023053006;8
2023053007;8
2023053008;8
2023053009;8
2023053010;8
2023053011;8
2023053012;8
2023053013;8
2023053014;8
2023053015;7
2023053016;6
2023053017;3
2023053018;7
2023053019;0
2023053020;0
2023053021;0
2023053022;0
2023053023;1
2023053100;0
2023053101;0
2023053102;0
2023053103;0
2023053104;0
2023053105;0
2023053106;7
2023053107;8
2023053108;5
2023053109;7
2023053110;2
2023053111;0
2023053112;1
2023053113;7
2023053114;7
2023053115;8
2023053116;8
2023053117;8
2023053118;4
2023053119;0
2023053120;2
2023053121;7
2023053122;8
2023053123;8
2023060100;8
2023060101;8
2023060102;8
2023060103;8
2023060104;8
2023060105;8
2023060106;8
2023060107;8
2023060108;8
2023060109;8
2023060110;8
2023060111;8
2023060112;8
2023060113;7
2023060114;7
2023060115;6
2023060116;7
2023060117;6
2023060118;7
2023060119;7
2023060120;5
2023060121;7
2023060122;6
2023060123;8
2023060200;8
2023060201;7
2023060202;8
2023060203;8
2023060204;8
2023060205;5
2023060206;8
2023060207;8
2023060208;8
2023060209;7
2023060210;7
2023060211;4
2023060212;7
2023060213;2
2023060214;0
2023060215;0
2023060216;0
2023060217;0
2023060218;0
2023060219;0
2023060220;0
2023060221;0
2023060222;0
2023060223;0
2023060300;0
2023060301;0
2023060302;0
2023060303;6
2023060304;0
2023060305;0
2023060306;0
2023060307;0
2023060308;0
2023060309;0
2023060310;0
2023060311;7
2023060312;0
2023060313;7
2023060314;0
2023060315;0
2023060316;0
2023060317;0
2023060318;0
2023060319;0
2023060320;0
2023060321;0
2023060322;0
2023060323;0
2023060400;0
2023060401;3
2023060402;8
2023060403;7
2023060404;0
2023060405;1
2023060406;0
2023060407;1
2023060408;0
2023060409;0
2023060410;0
2023060411;0
2023060412;0
2023060413;0
2023060414;0
2023060415;0
2023060416;0
2023060417;0
2023060418;0
2023060419;0
2023060420;0
2023060421;0
2023060422;0
2023060423;0
2023060500;0
2023060501;0
2023060502;0
2023060503;0
2023060504;0
2023060505;0
2023060506;0
2023060507;0
2023060508;0
2023060509;0
2023060510;0
2023060511;0
2023060512;1
2023060513;7
2023060514;6
2023060515;0
2023060516;0
2023060517;6
2023060518;5
2023060519;0
2023060520;0
2023060521;0
2023060522;0
2023060523;0
2023060600;0
2023060601;0
2023060602;0
2023060603;0
2023060604;0
2023060605;0
2023060606;0
2023060607;0
2023060608;0
2023060609;0
2023060610;0
2023060611;0
2023060612;0
2023060613;2
2023060614;5
2023060615;6
2023060616;0
2023060617;0
2023060618;0
2023060619;0
2023060620;0
2023060621;0
2023060622;0
2023060623;0
2023060700;0
2023060701;0
2023060702;0
2023060703;0
2023060704;0
2023060705;8
2023060706;8
2023060707;7
2023060708;0
2023060709;0
2023060710;0
2023060711;0
2023060712;0
2023060713;0
2023060714;0
2023060715;0
2023060716;0
2023060717;0
2023060718;0
2023060719;0
2023060720;0
2023060721;0
2023060722;0
2023060723;0
2023060800;0
2023060801;0
2023060802;8
2023060803;8
2023060804;8
2023060805;8
2023060806;8
2023060807;8
2023060808;0
2023060809;0
2023060810;0
2023060811;0
2023060812;0
2023060813;0
2023060814;0
2023060815;0
2023060816;0
2023060817;0
2023060818;0
2023060819;0
2023060820;0
2023060821;0
2023060822;0
2023060823;0
2023060900;0
2023060901;0
2023060902;0
2023060903;0
2023060904;0
2023060905;0
2023060906;6
2023060907;6
2023060908;8
2023060909;7
2023060910;7
2023060911;3
2023060912;5
2023060913;7
2023060914;5
2023060915;3
2023060916;6
2023060917;8
2023060918;6
2023060919;8
2023060920;8
2023060921;8
2023060922;8
2023060923;1
2023061000;0
2023061001;0
2023061002;0
2023061003;0
2023061004;0
2023061005;4
2023061006;8
2023061007;4
2023061008;5
2023061009;0
2023061010;0
2023061011;0
2023061012;0
2023061013;0
2023061014;0
2023061015;0
2023061016;0
2023061017;0
2023061018;0
2023061019;0
2023061020;0
2023061021;3
2023061022;0
2023061023;1
2023061100;0
2023061101;4
2023061102;0
2023061103;3
2023061104;6
2023061105;1
2023061106;0
2023061107;0
2023061108;0
2023061109;0
2023061110;0
2023061111;0
2023061112;4
2023061113;7
2023061114;6
2023061115;6
2023061116;4
2023061117;7
2023061118;6
2023061119;4
2023061120;2
2023061121;0
2023061122;0
2023061123;0
2023061200;0
2023061201;0
2023061202;1
2023061203;1
2023061204;1
2023061205;0
2023061206;3
2023061207;2
2023061208;0
2023061209;0
2023061210;0
2023061211;0
2023061212;0
2023061213;0
2023061214;0
2023061215;0
2023061216;0
2023061217;0
2023061218;0
2023061219;0
2023061220;0
2023061221;0
2023061222;0
2023061223;0
2023061300;0
2023061301;0
2023061302;0
2023061303;0
2023061304;0
2023061305;0
2023061306;0
2023061307;0
2023061308;0
2023061309;0
2023061310;0
2023061311;0
2023061312;2
2023061313;1
2023061314;1
2023061315;0
2023061316;0
2023061317;0
2023061318;0
2023061319;0
2023061320;0
2023061321;0
2023061322;0
2023061323;0
2023061400;0
2023061401;0
2023061402;0
2023061403;0
2023061404;0
2023061405;0
2023061406;0
2023061407;0
2023061408;0
2023061409;0
2023061410;2
2023061411;5
2023061412;4
2023061413;4
2023061414;1
2023061415;0
2023061416;0
2023061417;0
2023061418;0
2023061419;0
2023061420;6
2023061421;1
2023061422;5
2023061423;7
2023061500;5
2023061501;8
2023061502;3
2023061503;0
2023061504;5
2023061505;0
2023061506;3
2023061507;4
2023061508;0
2023061509;7
2023061510;7
2023061511;8
2023061512;8
2023061513;8
2023061514;7
2023061515;8
2023061516;8
2023061517;1
2023061518;8
2023061519;2
2023061520;4
2023061521;7
2023061522;7
2023061523;8
2023061600;8
2023061601;8
2023061602;8
2023061603;8
2023061604;8
2023061605;8
2023061606;8
2023061607;8
2023061608;8
2023061609;8
2023061610;8
2023061611;7
2023061612;8
