Date;Open;High;Low;Last;Volume;Status
21.04.2022;107,07;109,8;106,76;108,33;185375;0
22.04.2022;108,26;108,76;105,54;106,65;125868;0
25.04.2022;105,49;105,85;99,48;102,32;156353;0
26.04.2022;102,53;106,2;101,08;104,99;138203;0
27.04.2022;105,45;106,33;103,27;105,32;67057;0
28.04.2022;104,96;108;103,29;107,59;73317;0
29.04.2022;107,55;110,3;107;109,34;12018;0
02.05.2022;106,3;108,46;103,1;107,58;151340;0
03.05.2022;107,61;108,32;104,62;104,97;184195;0
04.05.2022;105,91;111;105,46;110,14;241680;0
05.05.2022;110,55;114;109,2;110,9;279883;0
06.05.2022;111,27;113,5;109,87;112,39;249825;0
09.05.2022;112,94;113,2;105;105,94;302174;0
10.05.2022;105,5;106,96;101,54;102,46;327990;0
11.05.2022;101,51;108,29;101,3;107,51;287529;0
12.05.2022;107,67;108,71;104,69;107,45;264263;0
13.05.2022;108,25;111,69;107,79;111,55;220316;0
16.05.2022;111,67;114,79;108,84;114,24;218438;0
17.05.2022;114,42;115,69;111,09;111,93;277888;0
18.05.2022;112,91;114,15;108,35;109,11;245044;0
19.05.2022;108,22;112,31;105,7;112,04;272347;0
20.05.2022;111,45;113,23;110,52;112,55;180892;0
23.05.2022;112,85;114,34;111,86;113,42;196505;0
24.05.2022;112,79;114,63;111,7;113,56;191734;0
25.05.2022;114,12;115,3;113,01;114,03;152329;0
26.05.2022;114,35;118;113,85;117,4;123575;0
27.05.2022;117,52;119,72;116,63;119,43;81158;0
30.05.2022;119,28;122,01;118,98;121,67;42413;0
31.05.2022;122,2;125,28;121,6;122,84;11561;0
01.06.2022;116,08;118,57;115,4;116,29;242156;0
02.06.2022;115,02;118,46;112,45;117,61;216903;0
03.06.2022;118,22;121,45;116,02;119,72;141657;0
06.06.2022;121,55;121,95;118,77;119,51;204089;0
07.06.2022;119,94;121,37;118,55;120,57;276716;0
08.06.2022;120,65;124,4;120,45;123,58;256288;0
09.06.2022;123,6;124,34;122,5;123,07;218983;0
10.06.2022;122,89;124,33;119,81;122,01;294278;0
13.06.2022;121,94;123,7;118,93;122,27;257105;0
14.06.2022;121,88;125,19;118,91;121,17;291264;0
15.06.2022;120,79;121,88;117,75;118,51;231061;0
16.06.2022;119,65;120,29;115,56;119,81;276675;0
17.06.2022;119,13;121,25;111,72;113,12;319905;0
20.06.2022;113,88;114,5;111,52;114,13;161603;0
21.06.2022;114,21;116,25;114,02;114,65;204031;0
22.06.2022;114,4;114,45;107,03;111,74;293049;0
23.06.2022;109,58;112,7;108,04;110,05;195916;0
24.06.2022;110,04;114;109,24;113,12;134176;0
27.06.2022;112,92;116,08;111,26;115,09;118097;0
28.06.2022;115,74;118,27;115,72;117,98;65764;0
29.06.2022;117,96;120,41;115,2;116,26;54344;0
30.06.2022;116,01;116,67;114,22;114,81;7113;0
01.07.2022;109,49;112,45;108,03;111,63;235417;0
04.07.2022;111,65;114;110,4;113,5;100588;0
05.07.2022;113,54;114,75;101,1;102,77;428839;0
06.07.2022;104,88;105,85;98,5;100,69;350296;0
07.07.2022;100,14;106,35;98,5;104,65;279661;0
08.07.2022;104,65;107,47;103,67;107,02;238348;0
11.07.2022;107;107,7;103,64;107,1;194659;0
12.07.2022;106,25;106,56;98,9;99,49;275618;0
13.07.2022;98,5;101,21;98,28;99,57;247469;0
14.07.2022;99,43;100,39;94,5;99,1;318794;0
15.07.2022;99,91;102,64;98,17;101,16;218091;0
18.07.2022;100,82;106,48;99,46;106,27;213498;0
19.07.2022;105,74;107,61;103,6;107,35;226403;0
20.07.2022;107,07;107,45;105,08;106,92;186695;0
21.07.2022;106,49;106,78;101,5;103,86;228699;0
22.07.2022;103,86;105,72;101,9;103,2;137242;0
25.07.2022;103,85;105,38;101,64;105,15;123666;0
26.07.2022;104,73;107,34;103,99;104,4;110001;0
27.07.2022;104,75;107,86;103,73;106,62;77693;0
28.07.2022;107,31;109,06;106;107,14;80841;0
29.07.2022;108;110,67;106,9;110,01;9127;0
01.08.2022;103,92;104,43;99,09;100,03;272835;0
02.08.2022;99,87;102,41;98,49;100,54;229684;0
03.08.2022;99,73;102,41;96,5;96,78;293111;0
04.08.2022;97,1;97,66;93,2;94,12;264805;0
05.08.2022;93,65;96,4;92,78;94,92;216197;0
08.08.2022;94,51;96,82;93,01;96,65;201246;0
09.08.2022;96,36;98,4;94,9;96,31;219670;0
10.08.2022;96,34;97,97;93,63;97,4;247741;0
11.08.2022;97,04;100,17;96,63;99,6;219416;0
12.08.2022;99,33;100,38;96,94;98,15;188126;0
15.08.2022;97,72;98,17;92,78;95,1;217574;0
16.08.2022;94,01;95,95;91,71;92,34;217751;0
17.08.2022;92,67;94,48;91,51;93,65;199193;0
18.08.2022;93,29;97,42;93,05;96,59;208551;0
19.08.2022;96,68;97,88;94,25;96,72;178601;0
22.08.2022;95,95;97,28;92,36;96,48;207640;0
23.08.2022;96,78;100,45;96,53;100,22;210633;0
24.08.2022;100,19;101,9;99,1;101,22;183731;0
25.08.2022;101,73;102,47;99,12;99,34;161491;0
26.08.2022;99,83;101,21;98,1;100,99;130634;0
29.08.2022;100,67;105,48;100,16;105,09;53025;0
30.08.2022;104,9;105,45;97,55;99,31;59833;0
31.08.2022;99,79;100,46;95,44;96,49;10070;0
01.09.2022;95,18;95,68;91,81;92,36;297547;0
02.09.2022;92,66;95,32;92,65;93,02;210002;0
05.09.2022;93,02;96,99;93,02;95,74;144255;0
06.09.2022;95,19;95,94;92,3;92,83;225949;0
07.09.2022;92,81;93,8;87,4;88;300200;0
08.09.2022;87,7;89,83;87,24;89,15;208658;0
09.09.2022;88,62;93,12;88,6;92,84;202939;0
12.09.2022;92,54;95,17;91,21;94;210433;0
13.09.2022;94,31;95,53;91,05;93,17;275167;0
